title,category,source_url,date_article,date_scrape
Rudal Rusia Hantam Kapal Kargo Bawa Gandum di Laut Hitam,detikNews,https://news.detik.com/internasional/d-7538356/rudal-rusia-hantam-kapal-kargo-bawa-gandum-di-laut-hitam,13 Sep 2024 01:30 WIB,2024-09-13 02:34:29
Timnas Indonesia Amputasi Komentari Penampilan Pasukan Shin Tae-yong,Sepakbola,https://sport.detik.com/sepakbola/liga-indonesia/d-7538351/timnas-indonesia-amputasi-komentari-penampilan-pasukan-shin-tae-yong,13 Sep 2024 02:00 WIB,2024-09-13 02:34:29
Bukti Arsenal Ompong Tanpa Odegaard,Sepakbola,https://sport.detik.com/sepakbola/liga-inggris/d-7538058/bukti-arsenal-ompong-tanpa-odegaard,13 Sep 2024 00:00 WIB,2024-09-13 02:34:29
Start Lesu Qatar,Sepakbola,https://sport.detik.com/sepakbola/bola-dunia/d-7538052/start-lesu-qatar,12 Sep 2024 23:00 WIB,2024-09-13 02:34:29
"Lecehkan Son, Pemain Tottenham Ini Terancam Skors 12 Laga!",Sepakbola,https://sport.detik.com/sepakbola/liga-inggris/d-7538156/lecehkan-son-pemain-tottenham-ini-terancam-skors-12-laga,12 Sep 2024 20:15 WIB,2024-09-13 02:34:29
Kata Baleg DPR soal Coret Pasal Wantimpres Boleh Eks Napi di Bawah 5 Tahun,detikNews,https://news.detik.com/berita/d-7538355/kata-baleg-dpr-soal-coret-pasal-wantimpres-boleh-eks-napi-di-bawah-5-tahun,13 Sep 2024 01:04 WIB,2024-09-13 02:34:29
"Diduga Hina Nabi Muhammad, Eks Anggota DPRD Sibolga Jadi Tersangka",detikNews,https://news.detik.com/berita/d-7538302/diduga-hina-nabi-muhammad-eks-anggota-dprd-sibolga-jadi-tersangka,12 Sep 2024 22:06 WIB,2024-09-13 02:34:29
Satu Hal yang Dinilai Capello Bikin Chiesa Cocok di Inggris,Sepakbola,https://sport.detik.com/sepakbola/liga-inggris/d-7538334/satu-hal-yang-dinilai-capello-bikin-chiesa-cocok-di-inggris,13 Sep 2024 01:00 WIB,2024-09-13 02:34:29
"Mbappe Sudah Sepakat ke Liverpool Tahun 2022, tapi...",Sepakbola,https://sport.detik.com/sepakbola/liga-inggris/d-7538055/mbappe-sudah-sepakat-ke-liverpool-tahun-2022-tapi,12 Sep 2024 22:20 WIB,2024-09-13 02:34:29
"Polisi Tangkap Dukun Pengganda Uang di DIY, Sita Jenglot hingga Emas Palsu",detikNews,https://news.detik.com/berita/d-7538353/polisi-tangkap-dukun-pengganda-uang-di-diy-sita-jenglot-hingga-emas-palsu,13 Sep 2024 00:30 WIB,2024-09-13 02:34:29
"Nikita Mirzani Kesal, Hidup Damai Terusik Lagi-Lapor Polisi",detikPop,https://www.detik.com/pop/trending/d-7538197/nikita-mirzani-kesal-hidup-damai-terusik-lagi-lapor-polisi,12 Sep 2024 22:03 WIB,2024-09-13 02:34:29
"Deretan Gaya Seksi Lisa BLACKPINK di VMA 2024, Pakai Gaun Menerawang",Wolipop,https://wolipop.detik.com/celeb-style/d-7537778/deretan-gaya-seksi-lisa-blackpink-di-vma-2024-pakai-gaun-menerawang,12 Sep 2024 22:00 WIB,2024-09-13 02:34:29
"Topan Yagi Terjang Chiang Rai, Hotel Jadi Tempat Pengungsian-Bandara Banjir",detikTravel,https://travel.detik.com/travel-news/d-7537865/topan-yagi-terjang-chiang-rai-hotel-jadi-tempat-pengungsian-bandara-banjir,12 Sep 2024 23:01 WIB,2024-09-13 02:34:29
"NASA Diprediksi di Ambang Krisis, Ada Apa Nih?",detikInet,https://inet.detik.com/science/d-7538278/nasa-diprediksi-di-ambang-krisis-ada-apa-nih,12 Sep 2024 21:46 WIB,2024-09-13 02:34:29
Teka-teki Sosok yang Dilaporkan Nikita Mirzani ke Polres Jaksel,detikPop,https://www.detik.com/pop/trending/d-7537897/teka-teki-sosok-yang-dilaporkan-nikita-mirzani-ke-polres-jaksel,12 Sep 2024 19:44 WIB,2024-09-13 02:34:29
"5 Pendaki Perempuan Tersesat di Gunung Muria, Ditemukan Menangis",detikTravel,https://travel.detik.com/travel-news/d-7538020/5-pendaki-perempuan-tersesat-di-gunung-muria-ditemukan-menangis,12 Sep 2024 20:31 WIB,2024-09-13 02:34:29
"Menurut Perhitungan Sains, Ini 10 Lagu Radiohead Paling Sedih",detikInet,https://inet.detik.com/science/d-7538119/menurut-perhitungan-sains-ini-10-lagu-radiohead-paling-sedih,12 Sep 2024 22:31 WIB,2024-09-13 02:34:29
"Kebun Binatang Nigeria Kebanjiran, Buaya dan Ular Lepas ke Pemukiman",detikTravel,https://travel.detik.com/travel-news/d-7537801/kebun-binatang-nigeria-kebanjiran-buaya-dan-ular-lepas-ke-pemukiman,12 Sep 2024 22:03 WIB,2024-09-13 02:34:29
Chikita Meidy Dipolisikan Terkait Dugaan Pencemaran Nama Baik,detikPop,https://www.detik.com/pop/trending/d-7538203/chikita-meidy-dipolisikan-terkait-dugaan-pencemaran-nama-baik,12 Sep 2024 20:27 WIB,2024-09-13 02:34:29
Selalu Romantis! Jennifer dan Irfan Bachdim Saat Menikmati Makanan Berdua,detikFood,https://food.detik.com/foto-kuliner/d-7537700/selalu-romantis-jennifer-dan-irfan-bachdim-saat-menikmati-makanan-berdua,12 Sep 2024 22:00 WIB,2024-09-13 02:34:29
